feature,coefficient,abs_coef
oc_change,-0.061366670413986135,0.061366670413986135
eps_estimate,-0.034395688076002975,0.034395688076002975
f_volume_norm,0.019014324697983698,0.019014324697983698
fz_rsi_pos,-0.018338339196389792,0.018338339196389792
minute_cos,-0.01671377213899087,0.01671377213899087
rsi_14_clip,-0.01611898314716426,0.01611898314716426
low,-0.014743083465854514,0.014743083465854514
fz_spill_AMAT_lret_lag4,0.011630766502988476,0.011630766502988476
volu_z_60,0.010765882297135716,0.010765882297135716
f_volu_z_60_clipped,-0.010666875737288015,0.010666875737288015
mins_since_last_news,0.010173682163284192,0.010173682163284192
vol_60,0.009561613735387959,0.009561613735387959
overnight_n_is_zero,0.009489123520761119,0.009489123520761119
fz_spill_AMAT_lret_lag3,0.0090241196870143,0.0090241196870143
dow_1,0.008893329246986369,0.008893329246986369
cnt_60m_is_zero,-0.008551139096642905,0.008551139096642905
fz_dev_close_vwap_60,0.008424632209958092,0.008424632209958092
fz_dev_close_ema200,-0.008355527794539437,0.008355527794539437
dow_3,-0.007559597145643221,0.007559597145643221
fz_dev_tp_ema20,0.007534215071170496,0.007534215071170496
fz_spill_NVDA_lret_lag5,-0.007219229897954446,0.007219229897954446
fz_spill_AVGO_lret_lag1,0.006296085748970596,0.006296085748970596
fz_dev_close_vwap_15,0.006084689928738954,0.006084689928738954
fz_vol_30,-0.005819725088345924,0.005819725088345924
fz_vol_ratio_15,-0.005766663349897864,0.005766663349897864
f_volu_z_5_clipped,-0.005683583420102289,0.005683583420102289
morning_tone_sum,0.005602315125880069,0.005602315125880069
fz_lret_1_rolling,0.00555246272950053,0.00555246272950053
shares_out_roll_std_252,0.005356485095490051,0.005356485095490051
earnings_flag,-0.005262954761557988,0.005262954761557988
dow_0,0.004915311892113282,0.004915311892113282
fz_spill_NVDA_lret_lag2,-0.004864827699090915,0.004864827699090915
split_mult,-0.004663730601707858,0.004663730601707858
fz_vol_15,0.004582223408779284,0.004582223408779284
fz_spill_NVDA_lret_lag1,0.004527352128665243,0.004527352128665243
fz_spill_AVGO_lret_lag2,-0.004455116174751041,0.004455116174751041
fz_spill_AMD_lret_lag5,0.004255914390587968,0.004255914390587968
fz_spill_AVGO_lret_lag5,-0.004216321175686532,0.004216321175686532
fz_spill_AVGO_lret_lag4,-0.003999533229151331,0.003999533229151331
fz_spill_MU_lret_lag5,-0.003923504000722376,0.003923504000722376
fz_lret_5_rolling,0.0038584671094371126,0.0038584671094371126
log_shares_out,-0.003836692904212087,0.003836692904212087
tone_sum,0.0032815518764847187,0.0032815518764847187
overnight_tone_mean,0.0032578116186388305,0.0032578116186388305
fz_hl_over_atr20,0.0032441899007690433,0.0032441899007690433
fz_spill_MU_lret_lag2,0.003237912907111256,0.003237912907111256
cnt_30m_is_zero,-0.003200289128427379,0.003200289128427379
fz_spill_AMD_lret_lag4,-0.0031461452315675086,0.0031461452315675086
fz_spill_AMAT_lret_lag1,0.003116090288398581,0.003116090288398581
fz_spill_AMD_lret_lag1,-0.0030294669428791803,0.0030294669428791803
fz_spill_AMD_lret_lag2,-0.0029178435169259108,0.0029178435169259108
fz_macd_hist,-0.0028719020787331597,0.0028719020787331597
fz_lret_30_rolling,0.002852524199034826,0.002852524199034826
cnt_15m_is_zero,-0.0020995693288492294,0.0020995693288492294
shares_out_roll_z_252,0.0019171263199068834,0.0019171263199068834
fz_lret_15_rolling,0.0018284136828798482,0.0018284136828798482
fz_spill_AMAT_lret_lag5,0.0018064192855667075,0.0018064192855667075
fz_vol_ratio_5,0.0016992607085870857,0.0016992607085870857
fz_spill_NVDA_lret_lag4,-0.0016934358488668077,0.0016934358488668077
fz_spill_MU_lret_lag1,-0.0014107185992438544,0.0014107185992438544
fz_spill_AMAT_lret_lag2,0.0012646628923420062,0.0012646628923420062
fz_spill_AMD_lret_lag3,-0.0011202062821277906,0.0011202062821277906
fz_lret_60_rolling,-0.001032963783046192,0.001032963783046192
f_volu_z_15_clipped,-0.0006999343605989828,0.0006999343605989828
fz_spill_MU_lret_lag4,0.0006628459634130666,0.0006628459634130666
fz_vol_5,-0.0005945174635561108,0.0005945174635561108
f_mincos,-0.0005521395887629706,0.0005521395887629706
fz_vol_ratio_30,-0.0005317161833433668,0.0005317161833433668
fz_vol_60,-0.0004554033892893982,0.0004554033892893982
f_minsin,0.0003151466105998531,0.0003151466105998531
fz_spill_NVDA_lret_lag3,-0.0001808634795051523,0.0001808634795051523
fz_spill_MU_lret_lag3,0.0001282539705820846,0.0001282539705820846
5d_before_earnings_flag,5.6225026213646343e-05,5.6225026213646343e-05
split_ratio,-1.1613440898981943e-16,1.1613440898981943e-16
overnight_source_div_is_zero,1.2872804073469472e-17,1.2872804073469472e-17
