datetime,lasso,lightgbm,ridge,transformer
2025-04-29 15:59:00,0.8966638455660317,0.006088414748730439,0.09042624006821348,0.006821499617024216
2025-04-30 13:20:00,0.5072171421605685,0.46497991019068785,0.026607160000087147,0.001195787648656403
2025-04-30 13:21:00,0.32318965356403223,0.5806422728004995,0.09598077461667877,0.00018729901878941445
2025-04-30 13:22:00,0.17951847858496736,0.5582775177777788,0.2559967382360144,0.006207265401239458
2025-04-30 13:23:00,0.540046273175351,0.19449477319068917,0.2607957086760801,0.00466324495787967
2025-04-30 13:24:00,0.4184891675534451,0.19392424529021599,0.3856058461040866,0.0019807410522524136
2025-04-30 13:25:00,0.8299278918371931,0.10986450610506877,0.0599528251241728,0.0002547769335654034
2025-04-30 13:26:00,0.6002820500823696,0.20137031026798893,0.1972125311950246,0.0011351084546169076
2025-04-30 13:27:00,0.33217017508301505,0.14868996911495594,0.516112262902847,0.0030275928991821293
2025-04-30 13:28:00,0.5417465375045936,0.27481335072622254,0.18301877548928538,0.0004213362798985498
2025-04-30 13:29:00,0.6215422476697134,0.04140926929531758,0.3354972587139132,0.001551224321055694
2025-04-30 13:30:00,0.3428936396987636,0.4896874362145365,0.16479290642023922,0.0026260176664607534
2025-04-30 13:31:00,0.2793083555084797,0.6672171597921474,0.05277733515291931,0.0006971495464536406
2025-04-30 13:32:00,0.48238146903003604,0.20234223721835443,0.3146867782564982,0.0005895154951110845
2025-04-30 13:33:00,0.5344217015435732,0.24729734228510725,0.21772861595415008,0.0005523402171696627
2025-04-30 13:34:00,0.49509705159370887,0.25065642789268683,0.2524580711946866,0.0017884493189177315
2025-04-30 13:35:00,0.8627919185081154,0.11708030145610474,0.018319594928111426,0.001808185107668467
2025-04-30 13:36:00,0.11091577014800126,0.357384798926661,0.5296224250701186,0.002077005855219267
2025-04-30 13:37:00,0.7140644806186746,0.11182722752117683,0.17325366962425492,0.0008546222358937483
2025-04-30 13:38:00,0.37740829110929736,0.4651239960054979,0.15667368703789378,0.0007940258473110446
2025-04-30 13:39:00,0.35544674276176774,0.30987221840274537,0.3317781532090938,0.0029028856263931015
2025-04-30 13:40:00,0.5985645675047016,0.3536982060600847,0.04054368389834462,0.007193542536869054
2025-04-30 13:41:00,0.5918676597027822,0.39382516652684774,0.012616877424437739,0.0016902963459322962
