datetime,symbol,predicted_log_return,actual_log_return,weight_relative,weight_sign
2025-04-30 13:19:00,AMAT,-0.008386492729187012,0.20681031048297882,-0.5131176710128784,-1.0
2025-04-30 13:19:00,AMAT,-0.007957696914672852,0.038756806403398514,-0.4868823289871216,-1.0
2025-04-30 13:49:00,AMAT,-0.012378573417663574,0.30723971128463745,-0.22428520023822784,-1.0
2025-04-30 13:49:00,AMAT,-0.011555075645446777,0.4701143503189087,-0.2093643844127655,-1.0
2025-04-30 13:49:00,AMAT,-0.010870277881622314,0.3755130171775818,-0.19695664942264557,-1.0
2025-04-30 13:49:00,AMAT,-0.010418325662612915,0.45230090618133545,-0.18876780569553375,-1.0
2025-04-30 13:49:00,AMAT,-0.009968966245651245,0.30389857292175293,-0.18062594532966614,-1.0
2025-04-30 14:19:00,AMAT,-0.014449983835220337,-0.07407001405954361,-0.27691152691841125,-1.0
2025-04-30 14:19:00,AMAT,-0.010618090629577637,-0.09957694262266159,-0.20347923040390015,-1.0
2025-04-30 14:19:00,AMAT,-0.009698599576950073,0.08569459617137909,-0.1858586072921753,-1.0
2025-04-30 14:19:00,AMAT,-0.008996278047561646,-0.02022622898221016,-0.17239971458911896,-1.0
2025-04-30 14:19:00,AMAT,-0.008419722318649292,0.05332189425826073,-0.16135092079639435,-1.0
2025-04-30 14:49:00,AMAT,-0.011271178722381592,0.5256431102752686,-0.2169460952281952,-1.0
2025-04-30 14:49:00,AMAT,-0.010714948177337646,0.6207590699195862,-0.20623984932899475,-1.0
2025-04-30 14:49:00,AMAT,-0.010487467050552368,0.43550077080726624,-0.20186132192611694,-1.0
2025-04-30 14:49:00,AMAT,-0.009884893894195557,0.24339193105697632,-0.1902630776166916,-1.0
2025-04-30 14:49:00,AMAT,-0.009595334529876709,0.4672064781188965,-0.18468967080116272,-1.0
2025-04-30 15:19:00,AMAT,-0.014023691415786743,0.31153404712677,-0.24538518488407135,-1.0
2025-04-30 15:19:00,AMAT,-0.011451184749603271,0.7356352210044861,-0.20037171244621277,-1.0
2025-04-30 15:19:00,AMAT,-0.01135629415512085,0.4668826460838318,-0.1987113207578659,-1.0
2025-04-30 15:19:00,AMAT,-0.010561257600784302,0.4418899118900299,-0.18479984998703003,-1.0
2025-04-30 15:19:00,AMAT,-0.009757280349731445,0.41793978214263916,-0.17073193192481995,-1.0
2025-04-30 15:49:00,AMAT,-0.013351649045944214,1.2761008739471436,-0.2206687480211258,-1.0
2025-04-30 15:49:00,AMAT,-0.012675672769546509,0.8049010038375854,-0.20949658751487732,-1.0
2025-04-30 15:49:00,AMAT,-0.011930704116821289,0.591865599155426,-0.19718416035175323,-1.0
2025-04-30 15:49:00,AMAT,-0.011349648237228394,0.9960130453109741,-0.18758077919483185,-1.0
2025-04-30 15:49:00,AMAT,-0.011197715997695923,1.5605065822601318,-0.1850697249174118,-1.0
2025-05-02 12:50:00,AMAT,-0.013130992650985718,0.4162626266479492,-0.21685075759887695,-1.0
2025-05-02 12:50:00,AMAT,-0.012824535369873047,-0.07322132587432861,-0.2117897868156433,-1.0
2025-05-02 12:50:00,AMAT,-0.012071579694747925,0.33081668615341187,-0.19935515522956848,-1.0
2025-05-02 12:50:00,AMAT,-0.011916577816009521,0.15335842967033386,-0.19679538905620575,-1.0
2025-05-02 12:50:00,AMAT,-0.010609447956085205,0.12541188299655914,-0.1752088963985443,-1.0
2025-05-02 13:20:00,AMAT,-0.01198035478591919,0.22458167374134064,-0.22716286778450012,-1.0
2025-05-02 13:20:00,AMAT,-0.011492758989334106,0.44173434376716614,-0.21791742742061615,-1.0
2025-05-02 13:20:00,AMAT,-0.01023024320602417,0.31230321526527405,-0.19397851824760437,-1.0
2025-05-02 13:20:00,AMAT,-0.01003342866897583,0.4068048894405365,-0.19024665653705597,-1.0
2025-05-02 13:20:00,AMAT,-0.009002268314361572,0.5414799451828003,-0.1706945300102234,-1.0
2025-05-02 13:50:00,AMAT,-0.012470394372940063,0.4498731195926666,-0.21678055822849274,-1.0
2025-05-02 13:50:00,AMAT,-0.01198539137840271,0.4775833785533905,-0.20834945142269135,-1.0
2025-05-02 13:50:00,AMAT,-0.011637985706329346,0.20485131442546844,-0.20231029391288757,-1.0
2025-05-02 13:50:00,AMAT,-0.01072433590888977,0.2624868154525757,-0.1864277571439743,-1.0
2025-05-02 13:50:00,AMAT,-0.010707318782806396,0.11967553943395615,-0.18613193929195404,-1.0
2025-05-02 14:20:00,AMAT,-0.01143711805343628,0.09651195257902145,-0.2181517481803894,-1.0
2025-05-02 14:20:00,AMAT,-0.010709583759307861,0.17117510735988617,-0.2042747437953949,-1.0
2025-05-02 14:20:00,AMAT,-0.010329663753509521,0.19643405079841614,-0.19702814519405365,-1.0
2025-05-02 14:20:00,AMAT,-0.010077714920043945,0.186781108379364,-0.192222461104393,-1.0
2025-05-02 14:20:00,AMAT,-0.009873270988464355,0.2124500721693039,-0.18832290172576904,-1.0
2025-05-02 14:50:00,AMAT,-0.013168781995773315,0.020502135157585144,-0.24268105626106262,-1.0
2025-05-02 14:50:00,AMAT,-0.011973351240158081,-0.034538865089416504,-0.2206510454416275,-1.0
2025-05-02 14:50:00,AMAT,-0.01028752326965332,0.08601924777030945,-0.18958374857902527,-1.0
2025-05-02 14:50:00,AMAT,-0.009889721870422363,0.15807658433914185,-0.18225285410881042,-1.0
2025-05-02 14:50:00,AMAT,-0.00894436240196228,-0.09754753112792969,-0.16483129560947418,-1.0
2025-05-02 15:20:00,AMAT,-0.012039095163345337,0.04013918340206146,-0.2215684950351715,-1.0
