datetime,symbol,predicted_log_return,actual_log_return,weight_relative,weight_sign
2024-08-15 14:41:00,AMAT,-0.0002482958,8.51470442659874e-05,0.0,-1.0
2024-08-15 14:42:00,AMAT,0.000100934405,8.040999642489055e-05,1.0,1.0
2024-08-15 14:43:00,AMAT,-0.00028895665,0.0010163923676449471,0.0,-1.0
2024-08-15 14:44:00,AMAT,-4.524023e-05,7.087255935633863e-05,0.0,-1.0
2024-08-15 14:45:00,AMAT,-8.900428e-05,0.0014399870292747252,0.0,-1.0
2024-08-15 14:46:00,AMAT,9.58932e-05,-0.0009912440923978139,1.0,1.0
2024-08-15 14:47:00,AMAT,-0.00018608822,-0.0005904930788647178,0.0,-1.0
2024-08-15 14:48:00,AMAT,0.00024513365,-0.00033082849207666243,1.0,1.0
2024-08-15 14:49:00,AMAT,9.808506e-05,-0.000827550380021691,1.0,1.0
2024-08-15 14:50:00,AMAT,-0.00020697583,0.0001655648722431735,0.0,-1.0
2024-08-15 14:51:00,AMAT,3.607954e-05,0.0007328865417823849,1.0,1.0
2024-08-15 14:52:00,AMAT,1.4005328e-05,-0.00042548162797739764,1.0,1.0
2024-08-15 14:53:00,AMAT,8.133508e-05,0.0003073104450637132,1.0,1.0
2024-08-15 14:54:00,AMAT,-0.00012315121,-0.0004018865079320477,0.0,-1.0
2024-08-15 14:55:00,AMAT,-8.3367304e-05,-0.0001418808676030281,0.0,-1.0
2024-08-15 14:56:00,AMAT,-0.00019260806,-0.0005099914433870367,0.0,-1.0
2024-08-15 14:57:00,AMAT,-9.15592e-05,-0.0004837386750624617,0.0,-1.0
2024-08-15 14:58:00,AMAT,-0.00018007313,0.0015138615815786238,0.0,-1.0
2024-08-15 14:59:00,AMAT,-9.25828e-05,-0.0014665187007549818,0.0,-1.0
2024-08-15 15:00:00,AMAT,-7.127128e-05,0.0008990891413649393,0.0,-1.0
2024-08-15 15:01:00,AMAT,0.00031714106,0.0,1.0,1.0
2024-08-15 15:02:00,AMAT,-0.00010917337,2.364932776899309e-05,0.0,-1.0
2024-08-15 15:03:00,AMAT,8.2082304e-05,-0.0005914010462744201,1.0,1.0
2024-08-15 15:04:00,AMAT,-5.83318e-05,0.0014187753621328625,0.0,-1.0
2024-08-15 15:05:00,AMAT,-0.00011481775,0.0,0.0,-1.0
2024-08-15 15:06:00,AMAT,-0.0002608317,0.0006141780837003452,0.0,-1.0
2024-08-15 15:07:00,AMAT,-0.00022354376,0.0006846000668705443,0.0,-1.0
2024-08-15 15:08:00,AMAT,0.0003489469,-0.0010152644691370227,1.0,1.0
